2022-10-27-1808,192.168.3.0/24,C,0:18:12
2022-10-27-1826,192.168.3.0/24,C,0:18:15
2022-10-27-1844,192.168.3.0/24,C,0:18:11
2022-10-27-1903,192.168.3.0/24,C,0:18:14
2022-10-27-1921,192.168.3.0/24,C,0:18:16
2022-10-27-1939,192.168.3.0/24,C,0:18:13
2022-10-27-1957,192.168.3.0/24,C,0:18:15
2022-10-27-2016,192.168.3.0/24,C,0:18:15
2022-10-27-2034,192.168.3.0/24,C,0:18:16
2022-10-27-2052,192.168.3.0/24,C,0:18:16
2022-10-27-2110,192.168.3.0/24,C,0:18:14
2022-10-27-2129,192.168.3.0/24,C,0:18:15
2022-10-27-2147,192.168.3.0/24,C,0:18:14
2022-10-27-2205,192.168.3.0/24,C,0:18:15
2022-10-27-2223,192.168.3.0/24,C,0:18:14
2022-10-27-2242,192.168.3.0/24,C,0:18:19
2022-10-27-2301,192.168.3.0/24,C,0:19:15
2022-10-27-2319,192.168.3.0/24,C,0:18:17
2022-10-27-2338,192.168.3.0/24,C,0:18:13
2022-10-27-2356,192.168.3.0/24,C,0:18:15
2022-10-28-0014,192.168.3.0/24,C,0:18:13
2022-10-28-0032,192.168.3.0/24,C,0:18:16
2022-10-28-0051,192.168.3.0/24,C,0:18:17
2022-10-28-0109,192.168.3.0/24,C,0:18:15
2022-10-28-0127,192.168.3.0/24,C,0:18:13
2022-10-28-0145,192.168.3.0/24,C,0:18:22
2022-10-28-0204,192.168.3.0/24,C,0:18:14
2022-10-28-0222,192.168.3.0/24,C,0:18:17
2022-10-28-0240,192.168.3.0/24,C,0:18:15
2022-10-28-0258,192.168.3.0/24,C,0:18:12
